dname,iteration,base_model,size,Algorithm,Time,AUROC,PRAUC,F1_score,geometric_mean,matthews_corrcoef
glass2,14,DT,20,deskl,0.0229349136352539,0.9458333333333332,0.6095238095238096,0.5,0.7852812659593164,0.4702089867580906
glass2,14,DT,20,rrc,0.3016009330749511,0.9458333333333332,0.6095238095238096,0.5,0.7852812659593164,0.4702089867580906
glass2,15,DT,20,SPE,0.0989022254943847,0.9541666666666668,0.5138888888888888,0.5714285714285714,0.7958224257542214,0.5408524452393346
glass2,15,DT,20,Easy100,0.1551125049591064,0.8666666666666667,0.2528138528138528,0.3333333333333333,0.7416198487095662,0.3078936097835318
glass2,15,DT,20,Cascade100,0.0893611907958984,0.8125,0.2833333333333333,0.3076923076923077,0.7302967433402215,0.2814105882725793
glass2,15,DT,20,RusBoost100,0.170722484588623,0.8916666666666667,0.3174603174603174,0.4615384615384615,0.9082951062292476,0.49749371855331
glass2,15,DT,20,DES-P,0.0221698284149169,0.9583333333333331,0.5333333333333333,0.5,0.9219544457292888,0.532290647422377
glass2,15,DT,20,META-DES,0.1757011413574218,0.9083333333333332,0.3869047619047618,0.4,0.7637626158259733,0.3737855113104419
glass2,15,DT,20,knorae,0.0088660717010498,0.9083333333333332,0.3194444444444444,0.4444444444444444,0.7745966692414833,0.416621619186491
glass2,15,DT,20,knorau,0.0199861526489257,0.9416666666666668,0.5138888888888888,0.5454545454545454,0.9354143466934852,0.5728219618694801
glass2,15,DT,20,knop,0.0265169143676757,0.925,0.5694444444444444,0.4,0.7637626158259733,0.3737855113104419
glass2,15,DT,20,DESKNN,0.0070888996124267,0.9375,0.3873015873015873,0.5,0.7852812659593164,0.4702089867580906
glass2,15,DT,20,deskl,0.0517385005950927,0.975,0.6388888888888888,0.5,0.9219544457292888,0.532290647422377
glass2,15,DT,20,rrc,0.4535026550292969,0.975,0.6388888888888888,0.5,0.9219544457292888,0.532290647422377
oil,1,DT,20,SPE,0.1123149394989013,0.7534722222222222,0.2575359616384939,0.25,0.4915960401250875,0.2166666666666666
oil,1,DT,20,Easy100,0.0796864032745361,0.8020833333333334,0.2584814004005023,0.25,0.589844612306213,0.2190186150690621
oil,1,DT,20,Cascade100,0.0727872848510742,0.7208333333333333,0.3167778326745718,0.2222222222222222,0.4887626099538394,0.1848844832856458
oil,1,DT,20,RusBoost100,0.0731678009033203,0.7027777777777777,0.3267163432749751,0.2222222222222222,0.5845225972250061,0.1916001378495671
oil,1,DT,20,DES-P,0.01224946975708,0.8236111111111111,0.2811024239241151,0.2222222222222222,0.4887626099538394,0.1848844832856458
oil,1,DT,20,META-DES,0.2815854549407959,0.6812499999999999,0.2075959603220241,0.2352941176470588,0.4901813723284248,0.1995926605709832
oil,1,DT,20,knorae,0.0123138427734375,0.7965277777777777,0.2868992627846211,0.2666666666666666,0.4930066485916347,0.2369083809987723
oil,1,DT,20,knorau,0.0123825073242187,0.7961805555555556,0.2817305803694188,0.3333333333333333,0.6003471218109292,0.3023111145616641
oil,1,DT,20,knop,0.0202641487121582,0.725,0.2202245449585875,0.2352941176470588,0.4901813723284248,0.1995926605709832
oil,1,DT,20,DESKNN,0.0124363899230957,0.6885416666666666,0.1853390957446808,0.25,0.4915960401250875,0.2166666666666666
oil,1,DT,20,deskl,0.0354349613189697,0.7829861111111112,0.2875445623742531,0.2666666666666666,0.4930066485916347,0.2369083809987723
oil,1,DT,20,rrc,1.5619821548461914,0.7829861111111112,0.2875445623742531,0.2666666666666666,0.4930066485916347,0.2369083809987723
oil,2,DT,20,SPE,0.0852031707763671,0.940277777777778,0.6323045665634675,0.4347826086956521,0.768295371441074,0.4241934177502039
oil,2,DT,20,Easy100,0.0719006061553955,0.8902777777777778,0.6487715298885511,0.4,0.8819171036881969,0.4396596592887844
oil,2,DT,20,Cascade100,0.0765705108642578,0.9541666666666666,0.753084634663582,0.6666666666666666,0.9196919774214264,0.6696234795731139
oil,2,DT,20,RusBoost100,0.0971262454986572,0.977777777777778,0.6236111111111111,0.5714285714285714,0.966091783079296,0.6110100926607787
oil,2,DT,20,DES-P,0.0145671367645263,0.9364583333333332,0.5831688596491228,0.4,0.7637626158259734,0.3929635665517643
oil,2,DT,20,META-DES,0.2115285396575927,0.925,0.6028352130325814,0.4,0.6912147117775908,0.3761626197515065
oil,2,DT,20,knorae,0.0310232639312744,0.9618055555555556,0.4390923414820474,0.5263157894736842,0.7772815877574012,0.5088331213195769
oil,2,DT,20,knorau,0.0277693271636962,0.9451388888888888,0.6469311776974316,0.4347826086956521,0.768295371441074,0.4241934177502039
oil,2,DT,20,knop,0.0203340053558349,0.93125,0.6144420394420395,0.3333333333333333,0.6831300510639732,0.3134578344107679
oil,2,DT,20,DESKNN,0.0125613212585449,0.9638888888888888,0.5744949494949495,0.6,0.85146931829632,0.5917680237554188
oil,2,DT,20,deskl,0.0358259677886962,0.9618055555555556,0.6919322607091617,0.5263157894736842,0.7772815877574012,0.5088331213195769
oil,2,DT,20,rrc,1.5677268505096436,0.9618055555555556,0.6919322607091617,0.5263157894736842,0.7772815877574012,0.5088331213195769
oil,3,DT,20,SPE,0.1251225471496582,0.9135416666666668,0.4759228923445529,0.3636363636363636,0.6871842709362767,0.3417118864171065
oil,3,DT,20,Easy100,0.1457808017730713,0.9006944444444444,0.5152364966211949,0.3243243243243243,0.8088057039033952,0.3477196249347462
oil,3,DT,20,Cascade100,0.0898635387420654,0.8479166666666667,0.4188999238224902,0.4444444444444444,0.695221787153807,0.4197377458376824
oil,3,DT,20,RusBoost100,0.0759727954864502,0.9388888888888888,0.4691798685848608,0.4827586206896552,0.8983008652141244,0.5108492487798441
oil,3,DT,20,DES-P,0.0125823020935058,0.940625,0.5698045665634675,0.3809523809523809,0.689202437604511,0.3580165138311698
