,dname,iteration,base_model,Algorithm,Time,AUROC,PRAUC,F1_score,geometric_mean,matthews_corrcoef
137,ps_failure.csv,14,DT,knorau,1.903784990310669,0.9813612303943964,0.8124209066451287,0.6764275256222547,0.9110643176827714,0.6829424640381628
138,ps_failure.csv,14,DT,knop,3.839790344238281,0.971609928430029,0.4826425441085854,0.5216494845360825,0.9448568351136438,0.5681332532258194
139,ps_failure.csv,14,DT,DESKNN,2.196256399154663,0.9457813918075224,0.5570670344750539,0.6297297297297297,0.913292062125576,0.6437295851310569
140,ps_failure.csv,15,DT,SPE,1.1476285457611084,0.9875774021623268,0.799490646114837,0.6868686868686869,0.9246712403310132,0.6955341947843311
141,ps_failure.csv,15,DT,Easy100,3.3290865421295166,0.9792360590832954,0.5944747622545793,0.4227642276422764,0.9494358081990932,0.493737792712365
142,ps_failure.csv,15,DT,Cascade100,1.1119894981384275,0.9835481650677632,0.7474044208743049,0.5727590221187427,0.935033192845178,0.6046011237528998
143,ps_failure.csv,15,DT,RusBoost100,1.121898889541626,0.9734718440688293,0.5413426966572525,0.4006488240064882,0.9248751598000492,0.466500234610143
144,ps_failure.csv,15,DT,DES-P,2.0164544582366943,0.9885419826404752,0.7571590231507153,0.6895522388059702,0.9114657696514068,0.6945146902097732
145,ps_failure.csv,15,DT,META-DES,60.8417284488678,0.9757003197807218,0.3956564529871672,0.5431309904153354,0.9496641708835958,0.5868084124059186
146,ps_failure.csv,15,DT,knorae,2.3557939529418945,0.9117952185168264,0.5123560586989238,0.696969696969697,0.9097679829789912,0.7006659330235883
147,ps_failure.csv,15,DT,knorau,1.813830137252808,0.9884476930105072,0.8037303716792402,0.6986506746626686,0.9155580294298884,0.7034937494776534
148,ps_failure.csv,15,DT,knop,3.730041265487671,0.9800058474189126,0.5181881875093801,0.5627044711014176,0.956056312624944,0.6046662544695152
149,ps_failure.csv,15,DT,DESKNN,2.004528284072876,0.9581742652657226,0.5990858297374863,0.6502177068214804,0.8967586250901182,0.6565567123401054
150,Covetype.csv,1,DT,SPE,5.192840099334717,0.9898509626719452,0.9086043782437234,0.7940577333929547,0.926088721120298,0.779501535230405
151,Covetype.csv,1,DT,Easy100,9.555557012557983,0.9803057835652164,0.7666122973451625,0.6480133896084995,0.9468709074747464,0.6565684201827454
152,Covetype.csv,1,DT,Cascade100,5.249631881713867,0.987450520970772,0.8688321998426363,0.7540836876258671,0.9427188599402884,0.7455063866187998
153,Covetype.csv,1,DT,RusBoost100,5.364971399307251,0.9875533022658988,0.8705870854337965,0.7223266892315406,0.9484307600830788,0.7192374115703947
154,Covetype.csv,1,DT,DES-P,6.105733394622803,0.9779766840595138,0.87753597594255,0.8878494506689872,0.9445038138542384,0.87834447449894
155,Covetype.csv,1,DT,META-DES,1836.7799327373505,0.9792075406159456,0.8505287972340958,0.8546196353870784,0.9470732100380904,0.8436113382342231
156,Covetype.csv,1,DT,knorae,5.547557592391968,0.953775083885916,0.8232177053561768,0.908074942478361,0.9529240380224764,0.9002787273913272
157,Covetype.csv,1,DT,knorau,5.573617696762085,0.9909105689793174,0.9277013974429166,0.8737417005782823,0.9430239206678748,0.8632094432082286
158,Covetype.csv,1,DT,knop,12.815165758132936,0.9820198072443528,0.8314812901122041,0.8245508982035928,0.943279398352077,0.8127397090829331
159,Covetype.csv,1,DT,DESKNN,6.332990646362305,0.968665108977854,0.8633298860316668,0.8949666994213342,0.9469865899981036,0.8860564555049018
160,Covetype.csv,2,DT,SPE,5.14922022819519,0.9900893762310812,0.9104993806821304,0.7982204646564508,0.9307963378835792,0.7844485251108998
161,Covetype.csv,2,DT,Easy100,9.552396535873411,0.9809305130089436,0.7531503579648462,0.6547052361772244,0.9497448713719318,0.6633868507241439
162,Covetype.csv,2,DT,Cascade100,5.090575456619263,0.9874800712183552,0.8726525955815376,0.7551625027636525,0.948351436004228,0.7483186334936405
163,Covetype.csv,2,DT,RusBoost100,5.312880039215088,0.984165760806627,0.8276352503412463,0.71481682609967,0.9432009870386516,0.7106537462533987
164,Covetype.csv,2,DT,DES-P,5.484305381774902,0.976881479362062,0.8689552748662351,0.891564963818987,0.949694745570654,0.8824501107536946
165,Covetype.csv,2,DT,META-DES,1086.657794713974,0.9818712850990252,0.8652203132388451,0.8605368713360074,0.9524262034457692,0.850303299134289
166,Covetype.csv,2,DT,knorae,5.728423595428467,0.9580768838925342,0.8178721559464006,0.905346663768746,0.9549115831896628,0.8973552907686613
167,Covetype.csv,2,DT,knorau,5.708796977996826,0.9898986047499904,0.919968468329849,0.8726772195457674,0.9472252782451438,0.8623309586744811
168,Covetype.csv,2,DT,knop,17.144646406173706,0.9805163150275896,0.8208572282361253,0.8161703380267871,0.9451692554394212,0.8048254874581098
169,Covetype.csv,2,DT,DESKNN,5.878233432769775,0.9691899953407904,0.8582854296347524,0.8914876257818874,0.9465630629124552,0.8822953469292822
170,Covetype.csv,3,DT,SPE,5.412362813949585,0.9895327950025512,0.9061267094904124,0.7944673864371362,0.925776405613613,0.7798569634061183
